,0
0,Nutritional and Metabolic Diseases
1,other
2,"Pathological Conditions, Signs and Symptoms"
3,"Pathological Conditions, Signs and Symptoms"
4,"Pathological Conditions, Signs and Symptoms"
5,Neoplasms
6,other
7,"Pathological Conditions, Signs and Symptoms"
8,Cardiovascular Diseases
9,other
10,Cardiovascular Diseases
11,Cardiovascular Diseases
12,"Pathological Conditions, Signs and Symptoms"
13,Cardiovascular Diseases
14,Cardiovascular Diseases
15,Neoplasms
16,Neoplasms
17,Neoplasms
18,"Pathological Conditions, Signs and Symptoms"
19,Nervous System Diseases
20,"Pathological Conditions, Signs and Symptoms"
21,"Pathological Conditions, Signs and Symptoms"
22,other
23,Infections
24,Neoplasms
25,Infections
26,Infections
27,Cardiovascular Diseases
28,Neoplasms
29,other
30,other
31,other
32,Nervous System Diseases
33,Nutritional and Metabolic Diseases
34,Mental Disorders
35,other
36,Nervous System Diseases
37,Neoplasms
38,other
39,Neoplasms
40,Neoplasms
41,Neoplasms
42,Neoplasms
43,Neoplasms
44,Neoplasms
45,Neoplasms
46,Nutritional and Metabolic Diseases
47,Nutritional and Metabolic Diseases
48,other
49,Nervous System Diseases
50,Cardiovascular Diseases
51,Nutritional and Metabolic Diseases
52,Nutritional and Metabolic Diseases
53,other
54,other
55,Neoplasms
56,Cardiovascular Diseases
57,other
58,Infections
59,Infections
60,Neoplasms
61,Neoplasms
62,Neoplasms
63,Neoplasms
64,other
65,Nutritional and Metabolic Diseases
66,other
67,Cardiovascular Diseases
68,Nervous System Diseases
69,Nervous System Diseases
70,Neoplasms
71,Neoplasms
72,Cardiovascular Diseases
73,Cardiovascular Diseases
74,Cardiovascular Diseases
75,Cardiovascular Diseases
76,"Pathological Conditions, Signs and Symptoms"
77,Neoplasms
78,Neoplasms
79,"Pathological Conditions, Signs and Symptoms"
80,Neoplasms
81,Neoplasms
82,other
83,other
84,Nutritional and Metabolic Diseases
85,Nutritional and Metabolic Diseases
86,Infections
87,other
88,other
89,Nervous System Diseases
90,Cardiovascular Diseases
91,Cardiovascular Diseases
92,Neoplasms
93,Neoplasms
94,Neoplasms
95,Nervous System Diseases
96,Neoplasms
97,other
98,Nutritional and Metabolic Diseases
99,Infections
100,other
101,Nutritional and Metabolic Diseases
102,Nutritional and Metabolic Diseases
103,"Pathological Conditions, Signs and Symptoms"
104,Skin and Connective Tissue Diseases
105,Nutritional and Metabolic Diseases
106,Skin and Connective Tissue Diseases
107,Nervous System Diseases
108,Nervous System Diseases
109,"Pathological Conditions, Signs and Symptoms"
110,other
111,other
112,Skin and Connective Tissue Diseases
113,Neoplasms
114,Neoplasms
115,Infections
116,Infections
117,Infections
118,Neoplasms
119,Neoplasms
120,Neoplasms
121,other
122,other
123,Neoplasms
124,Nervous System Diseases
125,Neoplasms
126,"Pathological Conditions, Signs and Symptoms"
127,Neoplasms
128,Cardiovascular Diseases
129,Nutritional and Metabolic Diseases
130,Neoplasms
131,Nervous System Diseases
132,other
133,other
134,other
135,other
136,"Pathological Conditions, Signs and Symptoms"
137,other
138,Cardiovascular Diseases
139,Neoplasms
140,Neoplasms
141,other
142,Nervous System Diseases
143,Mental Disorders
144,other
145,Skin and Connective Tissue Diseases
146,Neoplasms
147,other
148,other
149,Eye Diseases
150,other
151,Neoplasms
152,Neoplasms
153,Infections
154,Infections
155,other
