,split_drug,idx
0,train,0
1,train,1
2,train,2
3,train,3
4,train,4
5,train,5
6,train,6
7,train,7
8,val,8
9,test,9
10,train,10
11,train,11
12,train,12
13,train,13
14,train,14
15,test,15
16,val,16
17,val,17
18,train,18
19,val,19
20,train,20
21,train,21
22,train,22
23,val,23
24,train,24
25,train,25
26,test,26
27,train,27
28,test,28
29,train,29
30,val,30
31,train,31
32,val,32
33,test,33
34,val,34
35,train,35
36,test,36
37,train,37
38,train,38
39,train,39
40,train,40
41,train,41
42,train,42
43,test,43
44,train,44
45,test,45
46,train,46
47,train,47
48,train,48
49,train,49
50,test,50
51,val,51
52,train,52
53,train,53
54,train,54
55,train,55
56,train,56
57,train,57
58,train,58
59,train,59
60,train,60
61,train,61
62,train,62
63,train,63
64,train,64
65,train,65
66,test,66
67,test,67
68,train,68
69,val,69
70,val,70
71,train,71
72,train,72
73,train,73
74,test,74
75,test,75
76,test,76
77,train,77
78,train,78
79,test,79
80,val,80
81,train,81
82,train,82
83,train,83
84,train,84
85,train,85
86,train,86
87,train,87
88,train,88
89,train,89
90,train,90
91,train,91
92,train,92
93,val,93
94,train,94
95,val,95
96,val,96
97,train,97
98,train,98
99,train,99
100,test,100
101,train,101
102,test,102
103,val,103
104,train,104
105,train,105
106,val,106
107,train,107
108,train,108
109,train,109
110,train,110
111,train,111
112,val,112
113,train,113
114,test,114
115,train,115
116,train,116
117,train,117
118,train,118
119,test,119
120,train,120
121,train,121
122,test,122
123,val,123
124,train,124
125,train,125
126,train,126
127,train,127
128,train,128
129,train,129
130,train,130
131,train,131
132,train,132
133,train,133
134,train,134
135,train,135
136,train,136
137,train,137
138,train,138
139,train,139
140,train,140
141,test,141
142,val,142
143,test,143
144,train,144
145,train,145
146,train,146
147,train,147
148,train,148
149,val,149
150,train,150
151,train,151
152,train,152
153,train,153
154,val,154
155,val,155
156,test,156
157,train,157
158,train,158
159,train,159
160,train,160
161,train,161
162,train,162
163,train,163
164,train,164
165,val,165
166,train,166
167,test,167
168,train,168
169,train,169
170,val,170
171,val,171
172,train,172
173,train,173
174,train,174
175,test,175
176,val,176
177,test,177
178,test,178
179,train,179
180,train,180
181,val,181
182,train,182
183,val,183
184,val,184
185,train,185
186,train,186
187,train,187
188,train,188
189,val,189
190,train,190
191,val,191
192,train,192
193,train,193
194,train,194
195,val,195
196,train,196
197,train,197
198,train,198
199,train,199
200,train,200
201,train,201
202,val,202
203,train,203
204,train,204
205,test,205
206,test,206
207,train,207
208,train,208
209,train,209
210,train,210
211,train,211
212,train,212
213,train,213
214,val,214
215,train,215
216,train,216
217,test,217
218,train,218
219,train,219
220,train,220
221,test,221
222,test,222
223,train,223
224,train,224
225,val,225
226,val,226
227,val,227
228,val,228
229,train,229
230,train,230
231,val,231
232,train,232
233,train,233
234,train,234
235,train,235
236,test,236
237,train,237
238,train,238
239,test,239
240,train,240
241,train,241
242,train,242
243,test,243
244,val,244
245,val,245
246,train,246
247,train,247
248,train,248
249,train,249
250,train,250
251,train,251
252,val,252
253,train,253
254,test,254
255,train,255
256,test,256
257,val,257
258,train,258
259,train,259
260,test,260
261,train,261
262,train,262
263,train,263
264,test,264
265,test,265
266,train,266
267,train,267
268,val,268
269,train,269
270,train,270
271,train,271
272,train,272
273,val,273
274,test,274
275,train,275
276,val,276
277,train,277
278,train,278
279,train,279
280,train,280
281,train,281
282,train,282
283,train,283
284,train,284
285,train,285
286,train,286
287,val,287
288,train,288
289,val,289
290,test,290
291,train,291
292,test,292
293,train,293
294,train,294
295,test,295
296,test,296
297,test,297
298,train,298
299,train,299
300,train,300
301,train,301
302,test,302
303,train,303
304,train,304
305,test,305
306,test,306
307,test,307
308,test,308
309,train,309
310,train,310
311,train,311
312,train,312
313,train,313
314,val,314
315,val,315
316,train,316
317,test,317
318,train,318
319,train,319
320,train,320
321,train,321
322,train,322
323,train,323
324,train,324
325,val,325
326,val,326
327,train,327
328,train,328
329,train,329
330,train,330
331,test,331
332,train,332
333,train,333
334,train,334
335,train,335
336,train,336
337,val,337
338,train,338
339,train,339
340,train,340
341,train,341
342,train,342
343,test,343
344,test,344
345,val,345
346,train,346
347,val,347
348,val,348
349,train,349
350,train,350
351,train,351
352,train,352
353,train,353
354,train,354
355,val,355
356,val,356
357,train,357
358,train,358
359,val,359
360,train,360
361,test,361
362,test,362
363,test,363
364,train,364
365,train,365
366,train,366
367,train,367
368,train,368
369,train,369
370,train,370
371,train,371
372,train,372
373,train,373
374,test,374
375,train,375
376,train,376
377,train,377
378,val,378
379,train,379
380,test,380
381,train,381
382,val,382
383,train,383
384,train,384
385,train,385
386,test,386
387,train,387
388,train,388
389,train,389
390,val,390
391,train,391
392,train,392
393,val,393
394,train,394
395,train,395
396,test,396
397,test,397
398,train,398
399,train,399
400,train,400
401,train,401
402,train,402
403,train,403
404,train,404
405,train,405
406,train,406
407,train,407
408,train,408
409,train,409
410,train,410
411,train,411
412,train,412
413,train,413
414,train,414
415,train,415
416,val,416
417,val,417
418,test,418
419,test,419
420,train,420
421,train,421
422,train,422
423,train,423
424,train,424
425,train,425
426,val,426
427,train,427
428,val,428
429,train,429
430,train,430
431,train,431
432,train,432
433,train,433
434,train,434
435,train,435
436,val,436
437,train,437
438,train,438
439,train,439
440,train,440
441,train,441
442,train,442
443,train,443
444,train,444
445,train,445
446,train,446
447,train,447
448,train,448
449,train,449
450,test,450
451,train,451
452,train,452
453,train,453
454,train,454
455,train,455
456,val,456
457,train,457
458,train,458
459,val,459
460,val,460
461,train,461
462,val,462
463,val,463
464,val,464
465,train,465
466,train,466
467,train,467
468,train,468
469,train,469
470,train,470
471,train,471
472,val,472
473,train,473
474,test,474
475,val,475
476,train,476
477,train,477
478,val,478
479,val,479
480,train,480
481,test,481
482,val,482
483,val,483
484,train,484
485,train,485
486,test,486
487,val,487
488,val,488
489,train,489
490,train,490
491,train,491
492,test,492
493,test,493
494,test,494
495,train,495
496,val,496
497,val,497
498,train,498
499,train,499
500,train,500
501,test,501
502,train,502
503,val,503
504,test,504
505,train,505
506,train,506
507,train,507
508,val,508
509,val,509
510,val,510
511,val,511
512,train,512
513,test,513
514,train,514
515,train,515
516,val,516
517,test,517
518,test,518
519,val,519
520,train,520
521,val,521
522,val,522
523,val,523
524,train,524
525,train,525
526,train,526
527,train,527
528,train,528
529,train,529
530,train,530
531,train,531
532,test,532
533,train,533
534,val,534
535,test,535
536,train,536
537,train,537
538,train,538
539,test,539
540,val,540
541,val,541
542,train,542
543,val,543
544,train,544
545,train,545
546,train,546
547,train,547
548,train,548
549,test,549
550,train,550
551,train,551
552,val,552
553,train,553
554,train,554
555,train,555
556,train,556
557,train,557
558,val,558
559,train,559
560,train,560
561,train,561
562,train,562
563,train,563
564,test,564
565,train,565
566,train,566
567,train,567
568,val,568
569,train,569
570,train,570
571,train,571
572,train,572
573,train,573
574,train,574
575,train,575
576,val,576
577,train,577
578,test,578
579,train,579
580,train,580
581,train,581
582,train,582
583,train,583
584,val,584
585,val,585
586,train,586
587,val,587
588,train,588
589,test,589
590,val,590
591,val,591
592,test,592
593,train,593
594,train,594
595,test,595
596,train,596
597,val,597
598,test,598
599,train,599
600,train,600
601,train,601
602,train,602
603,train,603
604,val,604
605,test,605
606,train,606
607,train,607
608,train,608
609,test,609
610,train,610
611,train,611
612,train,612
613,train,613
614,train,614
615,train,615
616,train,616
617,test,617
618,test,618
619,train,619
620,train,620
621,val,621
622,val,622
623,val,623
624,train,624
625,train,625
626,val,626
627,train,627
628,train,628
629,train,629
630,train,630
631,train,631
632,train,632
633,train,633
634,train,634
635,train,635
636,val,636
637,train,637
638,train,638
639,train,639
640,train,640
641,val,641
642,train,642
643,train,643
644,val,644
645,train,645
646,test,646
647,test,647
648,train,648
649,train,649
650,test,650
651,train,651
652,train,652
653,train,653
654,test,654
655,train,655
656,train,656
657,test,657
658,test,658
659,val,659
660,train,660
661,train,661
662,train,662
663,train,663
664,train,664
665,train,665
666,train,666
667,train,667
668,train,668
669,train,669
670,test,670
671,test,671
672,train,672
673,train,673
674,train,674
675,train,675
676,train,676
677,train,677
678,train,678
679,val,679
680,val,680
681,val,681
682,test,682
683,test,683
684,train,684
685,train,685
686,train,686
687,test,687
688,train,688
689,test,689
690,test,690
691,train,691
692,val,692
693,val,693
694,train,694
695,train,695
696,train,696
697,train,697
698,train,698
699,test,699
700,train,700
701,train,701
702,train,702
703,val,703
704,val,704
705,train,705
706,val,706
707,val,707
708,train,708
709,train,709
710,train,710
711,val,711
712,train,712
713,train,713
714,train,714
715,test,715
716,train,716
717,train,717
718,train,718
719,test,719
720,test,720
721,train,721
722,train,722
723,train,723
724,train,724
725,train,725
726,val,726
727,train,727
728,train,728
729,val,729
730,train,730
731,train,731
732,train,732
733,train,733
734,train,734
735,test,735
736,train,736
737,train,737
738,train,738
739,train,739
740,train,740
741,train,741
742,train,742
743,val,743
744,train,744
745,train,745
746,val,746
747,train,747
748,train,748
749,train,749
750,test,750
751,val,751
752,train,752
753,train,753
754,test,754
755,train,755
756,train,756
757,train,757
758,val,758
759,train,759
760,test,760
761,val,761
762,train,762
763,train,763
764,train,764
765,test,765
766,test,766
767,test,767
768,train,768
769,train,769
770,train,770
771,train,771
772,val,772
773,train,773
774,train,774
775,val,775
776,train,776
777,train,777
778,train,778
779,test,779
780,train,780
781,train,781
782,test,782
783,train,783
784,train,784
785,train,785
786,train,786
787,train,787
788,test,788
789,test,789
790,train,790
791,train,791
792,train,792
793,train,793
794,train,794
795,train,795
796,train,796
797,train,797
798,test,798
799,train,799
800,train,800
801,train,801
802,train,802
803,train,803
804,test,804
805,train,805
806,train,806
807,train,807
808,train,808
809,train,809
810,test,810
811,test,811
812,train,812
813,train,813
814,train,814
815,train,815
816,train,816
817,test,817
818,train,818
819,test,819
820,train,820
821,train,821
822,train,822
823,train,823
824,train,824
825,val,825
826,val,826
827,train,827
828,train,828
829,train,829
830,train,830
831,val,831
832,train,832
833,train,833
834,train,834
835,train,835
836,test,836
837,val,837
838,test,838
839,train,839
840,val,840
841,val,841
842,train,842
843,train,843
844,train,844
845,train,845
846,train,846
847,test,847
848,train,848
849,train,849
850,train,850
851,test,851
852,test,852
853,test,853
854,val,854
855,train,855
856,train,856
857,train,857
858,train,858
859,train,859
860,train,860
861,train,861
862,val,862
863,train,863
864,val,864
865,train,865
866,train,866
867,test,867
868,train,868
869,train,869
870,train,870
871,train,871
872,train,872
